epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4501,4.45305,4.89241,3.83951,0.4788,0.27237,0.00726,0.00063,0.00012,4.02859,5.36434,3.31415,0.42285,0.000174837,0.000174837,0.000174837
2,193.898,3.85447,4.0427,2.92376,0.4134,0.01358,0.04162,0.00377,0.0007,3.74584,4.78144,2.8536,0.39159,0.000335097,0.000335097,0.000335097
3,283.495,3.50173,3.56532,2.54583,0.37313,0.12316,0.03931,0.01957,0.00843,3.44141,4.24167,2.60225,0.34527,0.00047074,0.00047074,0.00047074
4,365.439,3.27733,3.29827,2.34249,0.34488,0.20872,0.05221,0.03242,0.01558,3.1323,3.87094,2.34456,0.30602,0.000447889,0.000447889,0.000447889
5,436.947,3.02977,3.08001,2.16324,0.30061,0.18398,0.07591,0.04896,0.02102,2.97967,3.6858,2.23231,0.27761,0.000421852,0.000421852,0.000421852
6,506.127,2.88244,2.8839,2.03496,0.27996,0.2721,0.09966,0.0717,0.03578,2.79669,3.35425,2.13159,0.25134,0.000402014,0.000402014,0.000402014
7,575.238,2.74362,2.75135,1.93692,0.25565,0.36565,0.11337,0.08844,0.04509,2.68039,3.28078,2.03042,0.23893,0.00038398,0.00038398,0.00038398
8,643.595,2.62673,2.67612,1.87854,0.23229,0.55037,0.12188,0.10603,0.05527,2.55898,3.07816,1.95497,0.21862,0.00036031,0.00036031,0.00036031
9,721.353,2.55485,2.5667,1.80253,0.21538,0.40571,0.13564,0.11587,0.06284,2.4589,2.97793,1.89433,0.20296,0.000344873,0.000344873,0.000344873
10,807.302,2.46955,2.44199,1.76617,0.20268,0.41207,0.14729,0.12169,0.06875,2.4204,2.89454,1.85077,0.19314,0.000322232,0.000322232,0.000322232
11,878.513,2.40476,2.38314,1.74156,0.19832,0.47197,0.15278,0.13973,0.07657,2.33439,2.77704,1.8009,0.18042,0.000299591,0.000299591,0.000299591
12,950.191,2.33492,2.29195,1.6842,0.1838,0.4159,0.16744,0.14571,0.08248,2.28282,2.76144,1.78031,0.17647,0.00027695,0.00027695,0.00027695
13,1030.38,2.29968,2.21887,1.67529,0.1763,0.36719,0.17068,0.1495,0.0862,2.24932,2.73287,1.7614,0.16999,0.00025431,0.00025431,0.00025431
14,1151.34,2.26648,2.57836,1.77445,0.1816,0.40595,0.16087,0.14721,0.08623,2.19987,2.6787,1.70265,0.17826,0.000231669,0.000231669,0.000231669
15,1235.5,2.17942,2.42468,1.72244,0.17205,0.44555,0.17004,0.1593,0.09403,2.18032,2.61157,1.69268,0.16113,0.00019462,0.00019462,0.00019462
16,1311.65,2.16253,2.36826,1.71723,0.17125,0.40877,0.16598,0.1551,0.09008,2.18444,2.65051,1.68274,0.16198,0.00017095,0.00017095,0.00017095
17,1384.46,2.14672,2.31024,1.69643,0.16164,0.43455,0.1805,0.16948,0.09997,2.14778,2.52992,1.67229,0.16547,0.00014728,0.00014728,0.00014728
18,1461.81,2.1451,2.32345,1.69713,0.16726,0.41079,0.1887,0.17538,0.10277,2.12985,2.47944,1.64765,0.17247,0.000141105,0.000141105,0.000141105
19,1534.45,2.08337,2.21989,1.66696,0.16039,0.45812,0.18969,0.17841,0.10483,2.11711,2.44037,1.65568,0.16102,0.000118464,0.000118464,0.000118464
20,1608.15,2.09184,2.16634,1.6588,0.16154,0.43446,0.19429,0.18272,0.10921,2.09374,2.41929,1.6367,0.15982,9.58235e-05,9.58235e-05,9.58235e-05
21,1684.46,2.04598,2.13186,1.63371,0.15578,0.43386,0.20338,0.18871,0.1114,2.08828,2.38254,1.63607,0.15793,7.31826e-05,7.31826e-05,7.31826e-05
22,1756.56,2.05014,2.16592,1.64173,0.16128,0.40624,0.20806,0.18856,0.11195,2.07136,2.3701,1.62394,0.15823,5.05417e-05,5.05417e-05,5.05417e-05
23,1815.07,2.09293,2.11439,1.61993,0.15136,0.414,0.20702,0.18624,0.11095,2.07521,2.40874,1.62181,0.16235,2.79009e-05,2.79009e-05,2.79009e-05
