epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,104.643,4.41491,4.88787,3.80499,0.48087,0.0044,0.01497,0.00051,8e-05,4.11275,5.52213,3.35773,0.42072,0.00017496,0.00017496,0.00017496
2,195.445,3.8118,4.08523,2.93581,0.39458,0.02406,0.05193,0.00776,0.00199,3.75143,5.01588,2.91743,0.38671,0.000346826,0.000346826,0.000346826
3,284.13,3.4786,3.66828,2.61037,0.35587,0.19008,0.05717,0.01881,0.00631,3.38095,4.41895,2.67974,0.33584,0.00051522,0.00051522,0.00051522
4,389.875,3.22198,3.36535,2.36665,0.32913,0.06934,0.05841,0.02587,0.00892,3.16985,4.59462,2.45853,0.28933,0.000510378,0.000510378,0.000510378
5,477.891,2.99314,3.20325,2.24477,0.29702,0.22622,0.07898,0.05056,0.02207,2.97424,3.78457,2.32678,0.27139,0.00050517,0.00050517,0.00050517
6,599.398,2.87023,2.98357,2.10236,0.27648,0.19303,0.09336,0.0643,0.03051,2.82553,3.86058,2.21183,0.25716,0.000499963,0.000499963,0.000499963
7,791.115,2.71708,2.79092,1.99347,0.25389,0.27038,0.10811,0.07973,0.04024,2.62424,3.67404,2.07329,0.23796,0.000494756,0.000494756,0.000494756
8,925.446,2.5751,2.63015,1.94442,0.22431,0.47414,0.11258,0.09414,0.0492,2.66758,3.76521,2.10014,0.22124,0.000489548,0.000489548,0.000489548
9,1020.16,2.47543,2.5865,1.88328,0.20954,0.49215,0.13251,0.11244,0.06061,2.46642,3.27318,1.95965,0.21653,0.000484341,0.000484341,0.000484341
10,1107.91,2.45391,2.50167,1.83728,0.2022,0.41267,0.16038,0.1299,0.06769,2.37723,2.90368,1.91557,0.18952,0.000479133,0.000479133,0.000479133
11,1210.75,2.37573,2.38792,1.79056,0.194,0.4261,0.14929,0.12432,0.06931,2.40182,3.43056,1.907,0.18096,0.000473926,0.000473926,0.000473926
12,1309.86,2.32502,2.31223,1.75821,0.18035,0.40935,0.18125,0.14923,0.08239,2.27525,2.96365,1.83501,0.16867,0.000468719,0.000468719,0.000468719
13,1409.62,2.25406,2.22804,1.71427,0.17796,0.39909,0.17959,0.16557,0.09582,2.21678,2.96949,1.78932,0.18157,0.000463511,0.000463511,0.000463511
14,1500.21,2.20431,2.19663,1.70644,0.1627,0.39908,0.1882,0.16853,0.0963,2.17348,2.74342,1.77916,0.15932,0.000458304,0.000458304,0.000458304
15,1596,2.20224,2.17581,1.69296,0.16777,0.40686,0.20336,0.17465,0.09673,2.1742,2.7938,1.74872,0.15491,0.000453096,0.000453096,0.000453096
16,1682.57,2.11297,2.09774,1.69023,0.15396,0.46796,0.20672,0.19709,0.11511,2.09332,2.56146,1.71679,0.14827,0.000447889,0.000447889,0.000447889
17,1769.27,2.12319,2.06224,1.62879,0.15486,0.48701,0.21602,0.20056,0.11681,2.07674,2.56937,1.7039,0.15173,0.000442682,0.000442682,0.000442682
18,1854.67,2.10697,2.03557,1.63102,0.15069,0.5733,0.20081,0.1944,0.11423,2.07848,2.65649,1.67878,0.14449,0.000437474,0.000437474,0.000437474
19,1940.67,2.06554,2.01179,1.60474,0.14455,0.62971,0.22273,0.21889,0.13004,2.01032,2.38581,1.66365,0.14561,0.000432267,0.000432267,0.000432267
20,2028.38,2.07968,1.97427,1.58764,0.14846,0.60832,0.21906,0.2208,0.13039,2.00134,2.5645,1.65009,0.1349,0.000427059,0.000427059,0.000427059
21,2114.96,2.00607,1.9369,1.57323,0.14036,0.6165,0.22468,0.22351,0.13474,1.96283,2.44408,1.6216,0.13653,0.000421852,0.000421852,0.000421852
22,2200.99,2.00239,1.88744,1.54587,0.14022,0.58429,0.23349,0.2352,0.14154,1.93946,2.4274,1.62354,0.13791,0.000416645,0.000416645,0.000416645
23,2286.89,1.94721,1.85525,1.54259,0.13301,0.608,0.23895,0.23676,0.1447,1.93207,2.23939,1.60684,0.13407,0.000411437,0.000411437,0.000411437
24,2376.53,1.94614,1.85243,1.53772,0.13468,0.49922,0.24632,0.23885,0.14598,1.8966,2.47933,1.594,0.13236,0.00040623,0.00040623,0.00040623
25,2462.53,1.92642,1.79663,1.52985,0.13265,0.61266,0.2486,0.24699,0.15069,1.89256,2.30958,1.58504,0.1275,0.000401022,0.000401022,0.000401022
26,2549.43,1.90744,1.77499,1.51326,0.12828,0.50948,0.25662,0.25099,0.15602,1.86139,2.39882,1.57771,0.12441,0.000395815,0.000395815,0.000395815
27,2637.5,1.87727,1.72933,1.49201,0.12744,0.57133,0.25756,0.25263,0.15782,1.85347,2.24069,1.55306,0.128,0.000390608,0.000390608,0.000390608
28,2724.55,1.86934,1.6931,1.49271,0.12513,0.53119,0.26169,0.25142,0.15568,1.87427,2.23539,1.57491,0.12182,0.0003854,0.0003854,0.0003854
29,2815.34,1.84284,1.69831,1.47672,0.12135,0.62182,0.25576,0.26029,0.16282,1.82012,2.28834,1.53777,0.13786,0.000380193,0.000380193,0.000380193
30,2901.24,1.82865,1.69518,1.47606,0.11904,0.61308,0.25532,0.25608,0.16028,1.81251,2.28471,1.53674,0.11816,0.000374985,0.000374985,0.000374985
31,2987.4,1.79002,1.65569,1.48159,0.11998,0.61848,0.2755,0.27178,0.17143,1.77764,2.35073,1.50962,0.1221,0.000369778,0.000369778,0.000369778
32,3072.73,1.80973,1.67607,1.46351,0.11789,0.57425,0.27789,0.27501,0.17289,1.77399,2.09496,1.50376,0.12518,0.000364571,0.000364571,0.000364571
33,3159.52,1.81669,1.68186,1.46114,0.1178,0.65361,0.25774,0.26708,0.16887,1.78795,2.14502,1.52087,0.12487,0.000359363,0.000359363,0.000359363
34,3247.27,1.77839,1.63017,1.44005,0.1168,0.6646,0.28293,0.27843,0.17748,1.76276,2.3243,1.50038,0.12008,0.000354156,0.000354156,0.000354156
35,3335.22,1.80232,1.65093,1.44136,0.11481,0.63773,0.27773,0.27549,0.17516,1.73704,2.32731,1.49333,0.12057,0.000348948,0.000348948,0.000348948
36,3420.03,1.73924,1.61647,1.43355,0.1142,0.6473,0.29195,0.28355,0.17902,1.75272,2.04631,1.50356,0.11377,0.000343741,0.000343741,0.000343741
37,3505.63,1.76496,1.58719,1.42342,0.11478,0.64869,0.28148,0.28483,0.18253,1.72241,2.23165,1.48584,0.11229,0.000338534,0.000338534,0.000338534
38,3592.11,1.74345,1.56012,1.42434,0.10998,0.62997,0.29817,0.29099,0.1858,1.71783,2.13372,1.48401,0.10996,0.000333326,0.000333326,0.000333326
