epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29666,2.24715,6.18514,4.2856,0.65503,0,0,0,0,2.83132,7.30538,4.15873,0.75655,5.26e-06,5.26e-06,5.26e-06
2,7.07294,3.80368,5.09194,4.46511,0.69694,0,0,0,0,2.83132,7.30401,4.15881,0.75659,1.56238e-05,1.56238e-05,1.56238e-05
3,7.66732,3.88681,5.14762,4.36295,0.56407,0,0,0,0,2.83265,7.30024,4.15857,0.76007,2.57793e-05,2.57793e-05,2.57793e-05
4,8.22196,1.91918,5.87203,4.31754,0.56353,0,0,0,0,2.83271,7.29811,4.15868,0.76158,3.57264e-05,3.57264e-05,3.57264e-05
5,8.74568,3.25939,5.17826,4.57846,0.52961,0,0,0,0,2.83335,7.29851,4.15898,0.76455,4.54653e-05,4.54653e-05,4.54653e-05
6,9.28024,4.58532,5.11131,4.95441,0.41938,0,0,0,0,2.83335,7.29851,4.15898,0.76455,5.49959e-05,5.49959e-05,5.49959e-05
7,9.79859,4.02297,5.06217,5.08218,0.44205,0,0,0,0,2.83476,7.29572,4.15853,0.76733,6.43182e-05,6.43182e-05,6.43182e-05
8,10.298,3.75511,5.44807,4.80433,0.32999,0,0,0,0,2.83476,7.29572,4.15853,0.76733,7.34322e-05,7.34322e-05,7.34322e-05
9,10.8263,4.02158,5.10147,4.31287,0.5544,0,0,0,0,2.83575,7.29579,4.15899,0.77064,8.23379e-05,8.23379e-05,8.23379e-05
10,11.3453,3.76326,5.24602,4.67107,0.59482,0,0,0,0,2.83575,7.29579,4.15899,0.77064,9.10353e-05,9.10353e-05,9.10353e-05
11,11.8743,4.62684,5.50297,4.58195,0.54872,0,0,0,0,2.83788,7.29168,4.15804,0.77469,9.95245e-05,9.95245e-05,9.95245e-05
12,12.3497,2.31672,6.36583,4.75033,0.47536,0,0,0,0,2.83788,7.29168,4.15804,0.77469,0.000107805,0.000107805,0.000107805
